title,audience_score,number_of_audience_ratings,movie_genre,movie_author,movie_director,ranking,critic_score,number_of_critic_ratings
Snow White and the Seven Dwarfs (1937),78,469510,"Animation,Classics,Kids & Family,Science Fiction & Fantasy",David Hand,"Dorothy Anne Blank, Dick Richards, Ted Sears, Dick Rickard, Earl Hurd, Webb Smith, Dick Richard, Dorothy Ann Blank, Merrill de Maris, Richard Creedon, Otto Englander",21,98,47
12 Years a Slave (2013),90,138789,Drama,Steve McQueen (III),John Ridley,29,96,316
The 400 Blows (Les Quatre cents coups) (1959),94,38368,"Art House & International,Classics,Drama",Fran̤ois Truffaut,"Fran̤ois Truffaut, Marcel Moussy",54,100,54
Alien (1979),94,457186,"Drama,Mystery & Suspense,Science Fiction & Fantasy",Ridley Scott,Dan O'Bannon,48,97,104
Apocalypse Now (1979),94,284606,"Action & Adventure,Drama",Francis Ford Coppola,"John Milius, Francis Ford Coppola, Michael Herr",89,98,80
Argo (2012),90,207373,"Drama,Mystery & Suspense",Ben Affleck,Chris Terrio,40,96,313
Arrival (2016),82,78740,"Drama,Mystery & Suspense,Science Fiction & Fantasy",Denis Villeneuve,Eric Heisserer,58,94,333
Baby Driver (2017),89,48114,"Action & Adventure,Comedy,Drama",Edgar Wright,Edgar Wright,59,93,283
Battleship Potemkin (1925),85,18709,"Art House & International,Classics,Drama",Sergei M. Eisenstein,"Sergei M. Eisenstein, Nina Agadzhanova, Nina Agadzhanova-Shutko",100,100,45
A Hard Day's Night (1964),89,50067,"Classics,Comedy,Musical & Performing Arts",Richard Lester,Alun Owen,22,98,104
Bicycle Thieves (Ladri di biciclette) (1949),94,33723,Drama,Vittorio De Sica,"Cesare Zavattini, Vittorio De Sica, Oreste Biancoli, Adolfo Franci, O. Biancoli, Suso Cecchi d'Amico",49,98,56
Boyhood (2014),81,88478,Drama,Richard Linklater,Richard Linklater,15,98,283
The Bride of Frankenstein (1935),87,24471,"Classics,Horror,Science Fiction & Fantasy,Special Interest",James Whale,"John L. Balderston, William Hurlbut",43,100,41
Brooklyn (2015),87,45763,Drama,John Crowley,Nick Hornby,74,97,243
Citizen Kane (1941),90,157274,"Classics,Drama,Mystery & Suspense",Orson Welles,"Orson Welles, Herman J. Mankiewicz",2,100,75
Dr. Strangelove Or How I Learned to Stop Worrying and Love the Bomb (1964),94,208215,"Classics,Comedy,Science Fiction & Fantasy",Stanley Kubrick,"Stanley Kubrick, Peter George, Terry Southern",64,99,74
Dunkirk (2017),82,53555,"Action & Adventure,Drama",Christopher Nolan,Christopher Nolan,26,93,337
E.T. The Extra-Terrestrial (1982),72,32313030,"Kids & Family,Science Fiction & Fantasy",Steven Spielberg,Melissa Mathison,11,98,114
Finding Nemo (2003),86,33355673,"Animation,Comedy,Kids & Family",Andrew Stanton,"Andrew Stanton, Bob Peterson, David Reynolds",73,99,256
Get Out (2017),87,63837,"Comedy,Horror,Mystery & Suspense",Jordan Peele,Jordan Peele,4,99,282
The Godfather (1972),98,730433,Drama,Francis Ford Coppola,"Francis Ford Coppola, Mario Puzo",9,99,85
"The Godfather, Part II (1974)",97,409574,"Drama,Mystery & Suspense",Francis Ford Coppola,"Mario Puzo, Francis Ford Coppola",99,97,72
Gone With the Wind (1939),93,292794,"Classics,Drama,Romance",Victor Fleming,Sidney Howard,78,94,83
The Grapes of Wrath (1940),88,23954,"Classics,Drama",John Ford,Nunnally Johnson,94,100,43
